ID,weight,3rd,3thru6,3thru9,3thru12,6thru9,9thru12,6thru12,Laterals
F2_745,0.34,10,33,60,90,27,30,57,0
F2_746,0.26,12,37,68,100,31,32,63,3
F2_747,0.23,7,30,60,93,30,33,63,2
F2_748,0.15,8,28,57,88,29,31,60,0
F2_749,0.19,11,36,65,93,29,28,57,1
F2_750,0.22,12,35,63,93,28,30,58,2
F2_751,0.14,9,30,59,82,29,23,52,0
F2_752,0.17,8,23,49,75,26,26,52,0
F2_753,0.01,,24,47,,23,,,
F2_755,0.23,,17,38,67,21,29,50,3
F2_756,0.11,11,32,62,93,30,31,61,0
F2_757,0.35,14,48,84,116,36,32,68,5
F2_759,0.06,7,24,45,67,21,22,43,0
F2_760,0.45,12,42,68,100,26,32,58,0
F2_761,0.02,6,20,43,64,23,21,44,0
F2_762,0.33,11,38,68,98,30,30,60,1
F2_764,0.27,10,37,57,89,20,32,52,0
F2_766,0.08,9,30,59,86,29,27,56,2
F2_767,,7,22,48,82,26,34,60,0
F2_768,0.24,14,34,59,88,25,29,54,0
F2_769,0.11,7,25,48,76,23,28,51,4
F2_771,0.56,13,45,82,113,37,31,68,0
F2_772,0.28,8,29,64,93,35,29,64,0
F2_773,0.04,,16,34,78,18,44,62,0
F2_774,0.27,9,29,62,101,33,39,72,1
F2_775,0.3,10,32,60,87,28,27,55,2
F2_776,0.18,9,29,65,95,36,30,66,0
F2_777,0.19,11,37,71,102,34,31,65,3
F2_778,0.04,6,17,27,39,10,12,22,0
F2_779,,8,31,63,88,32,25,57,0
F2_780,,9,33,62,88,29,26,55,2
F2_781,,7,21,44,72,23,28,51,0
F2_782,,9,28,55,78,27,23,50,1
F2_783,,6,21,42,60,21,18,39,0
F2_784,,6,21,47,,26,,,
F2_785,,9,31,61,89,30,28,58,0
F2_786,,15,44,77,114,33,37,70,4
F2_787,,10,31,58,96,27,38,65,0
F2_788,,,14,,,,,,
F2_789,,6,22,44,64,22,20,42,0
F2_790,,7,25,52,72,27,20,47,0
F2_791,,10,35,67,95,32,28,60,0
F2_792,,9,25,54,80,29,26,55,0
F2_793,,9,26,51,71,25,20,45,2
F2_794,,8,28,62,93,34,31,65,0
F2_795,,10,30,62,92,32,30,62,2
F2_797,,12,41,71,93,30,22,52,0
F2_798,,8,27,55,70,28,15,43,0
F2_799,,6,17,44,74,27,30,57,2
F2_807,,9,31,52,70,21,18,39,3
F2_821,,9,30,63,88,33,25,58,0
F2_826,,,9,23,78,14,55,69,2
F2_878,,,20,36,51,16,15,31,2
F2_904,,6,19,41,63,22,22,44,3
